well_family,failure_label,count,sample_remarks
15_9_19,EQUIPMENT_FAILURE,204,"ORIENTED BIT/MOTOR & SLACKED-OFF THROUGH WINDOW.REAMED F/2208-2212M. STARTED DRILLING-SPP INCREASED 35BAR&TDS STALLED Ø16300NM.FREED STUCK -- fish STRING USING  || FLOW CHECKED, PUMPED SLUG & POOH WITH DRILLING BHA. BIT WAS DAMAGED - 6 OUT OF 9 BLADES ON BIT WERE DAMAGED/BROKEN. NO OTHER DAMAGE TO BHA COMPONENTS NOTED. || BROKE CIRCULATION. WASHED DOWN FROM 2190 - 2202 M / TD."
15_9_19,FISHING,92,"ORIENTED BIT/MOTOR & SLACKED-OFF THROUGH WINDOW.REAMED F/2208-2212M. STARTED DRILLING-SPP INCREASED 35BAR&TDS STALLED Ø16300NM.FREED STUCK -- fish STRING USING  || MADE UP 7"" CSG SPEAR/PACKOFF ASSY AND RIH TO WELLHEAD. abandon -- cut || ENGAGED SPEAR IN 7"" CSG AND PULLED CSG FREE WITH 100 TON OVER PULL FLOW CHECKED WELL, WELL STATIC. abandon -- cut"
15_9_19,TIGHT_HOLE,50,CONTINUED TIH; TOOK WEIGHT AT 2207 M. REAMED FROM 2207 - 2245 M; TIGHT HOLE FROM 2207 - 2226 M. HAD TENDENCY OF PACKING-OFF. 16300 NM= MA XIMUM TORQUE EXPERIENC || WASH AND REAM TIGHT HOLE FROM 3303 - 3820M WITH COREBARREL BHA. || CONTINUED WASH AND REAM TIGHT HOLE FROM 3820M - 3837M.
15_9_19,STUCK_PIPE,22,"MADE UP 7"" CSG SPEAR/PACKOFF ASSY AND RIH TO WELLHEAD. abandon -- cut || WORKED AND JARRED ON STUCK PIPE. NO PROGRESS. GOOD CIRCULATION. || WORKED STUCK PIPE FREE."
15_9_19,WELL_CONTROL,9,"SHUT IN WELL WITH SELECT TESTER VALVE TO CHECK OPERATION OF VALVE. m test || SHUT IN WELL WITH UPPER SUBSEA LUBRICATOR VALVE. R/U WIRELINE LUBRICATOR AND MWS BOTTOM HOLE SAMPLER/GR/CCL. own || PICKED UP 8 1/2"" KICK OFF BHA; AKO MACH 1 XL WITH 1,2 DEGR SETTING. TESTED MOTOR, OK. MADE UP MWD GR/RES/DIR AND LOAD TO OL."
15_9_F_10,EQUIPMENT_FAILURE,99,"Investigated and repaired leak on AFT Iron roughneck. || Waiting on weather. Meanwhile repaired leak on FWD PRS top jaw. ting on weather || Slacked off weight to neutral, i.e. 80 MT. Checked inclinometer x/y readings 0,02/0,13. Opened ball valve on CART. Bled off pressure above upper FOSV. Relased C"
15_9_F_10,TIGHT_HOLE,12,"POOH with 26"" drilling BHA from 495 m to 250 m MD. Worked tight area from 450 m to 430 m MD. || RIH with 20"" 133# N80 Tenaris ER casing from 314 m to 448 m MD. Filled casing with 1,40 sg KCl mud every 5th joint. Tight spot at 640 m to 652 m MD, ~15 MT drag || Worked through tight area from 1383 m to 1389 m MD ~25 MT drag. Washed down with 2000 lpm / SPP 24 bar. casing"
15_9_F_10,WELL_CONTROL,10,"Waited on weather. Issued notice to shut in adjacent wells at 06:45. Meanwhile removed end stops on HTS. Made up aluminium inner string on HTS. on weather || Waited on cement to set up. At 22:00, checked inclinometer x/y readings 0,2/0,12. Weight in block 97 MT. Issued notice for shut in of adjacent wells at 23:30. || Initiated kick off according to DDs instructions. Drilled/slided from 298 m to 328 m MD. Drilling parameters : Flow 3000 lpm / SPP ~75 bar / 87-121 RPM / WOB 2-"
15_9_F_10,STUCK_PIPE,9,"Attempted to RIH with 20"" casing / 18 3/4"" WH - negative. Worked to free pipe with alternating up/down weights, 50 MT set down / 60 MT overpull - negative - 20"" || Pulled from 2351m to 2328m. Observed 30 ton overpull. Observed pack off repetedly. Worked string from 2360m to 2328m, 0-4500 l/min, 0-270 bar, 0-120 r pm, 0-25  || Packed off stright afher connection. Took 10-15 ton over pull at 2013m. RIH to 2021m. Established circulation, staged pumps to 4500 l/min, 265 bar, 150 rp condi"
15_9_F_10,FISHING,7,"Attempted to RIH with 20"" casing / 18 3/4"" WH - negative. Worked to free pipe with alternating up/down weights, 50 MT set down / 60 MT overpull - negative - 20"" || Screwed in TDS to pup joint on CART while observing movement on CART. Managaed to get torque wrench in position without jeapordizing CART make up. Made up TDS.  || Staged up pumps to 660 lpm, verified returns to seabed. Staged up pumps to 2000 lpm / SPP ~30 bar. n -- fish"
