event_id,nds_well,nds_event_text,match_type,match_method,rank,similarity_score,tfidf_score,sbert_score,entity_overlap,matched_op_id,matched_pdf,matched_well_family,matched_well_prefix,matched_report_date,matched_start_time,matched_end_time,matched_end_depth_md,matched_main_activity,matched_sub_activity,matched_state,matched_remark,matched_op_text
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,tfidf,1,0.234246,0.234246,0.261653,0.0,2916,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_12.pdf,15_9_F_10,15_9_F_10,2009-04-12,09:00,11:15,246.0,drilling --,,ok,"Reamed interval 222-246 m MD in order to reduce inclination. Parameters : Flow 3500 lpm / SPP 95 bar / 140 RPM / Torque 2-4 kNm. Pumped 2 x 10 m3 hivis pills. Reduced iclinatio drill n from 0,53 deg to 0,16 deg.","drilling -- | ok | Reamed interval 222-246 m MD in order to reduce inclination. Parameters : Flow 3500 lpm / SPP 95 bar / 140 RPM / Torque 2-4 kNm. Pumped 2 x 10 m3 hivis pills. Reduced iclinatio drill n from 0,53 deg to 0,16 deg."
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,tfidf,2,0.131449,0.131449,0.354991,0.0,2850,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_08.pdf,15_9_F_10,15_9_F_10,2009-04-08,00:00,05:00,207.0,drilling,drill,ok,"Drilled 36"" hole from 165 m to 207 m (17 1/2"" bit depth). 90-100 RPM, 5 ton WOB, 4000-4450 lpm, 3,7 kNm, ROP 5-20 m/hr. Pumped HIVIS pills as per progra m. Took survey at 170 m: Inclination 0,27 deg. Took survey at 180 m: Inclination 0,17 deg. Took survey at 190 m: Inclination 0,21 deg. Took survey at 206 m: Inclination 0,15 deg.","drilling | drill | ok | Drilled 36"" hole from 165 m to 207 m (17 1/2"" bit depth). 90-100 RPM, 5 ton WOB, 4000-4450 lpm, 3,7 kNm, ROP 5-20 m/hr. Pumped HIVIS pills as per progra m. Took survey at 170 m: Inclination 0,27 deg. Took survey at 180 m: Inclination 0,17 deg. Took survey at 190 m: Inclination 0,21 deg. Took survey at 206 m: Inclination 0,15 deg."
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,tfidf,3,0.082186,0.082186,0.173373,0.0,2849,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_07.pdf,15_9_F_10,15_9_F_10,2009-04-07,19:00,00:00,165.0,drilling,drill,ok,"Drilled 36"" hole from 151 m to 165 m. 80 RPM, 4 -5 ton WOB, 3000 lpm, trq 3 kNm, Took survey at 160 m. Inclination 0,28 deg. Pumped HIVIS pills as per program.","drilling | drill | ok | Drilled 36"" hole from 151 m to 165 m. 80 RPM, 4 -5 ton WOB, 3000 lpm, trq 3 kNm, Took survey at 160 m. Inclination 0,28 deg. Pumped HIVIS pills as per program."
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,tfidf,4,0.069603,0.069603,0.181891,0.0,2909,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_12.pdf,15_9_F_10,15_9_F_10,2009-04-12,04:15,05:00,233.0,drilling --,,ok,"Drilled 26"" hole from 231 m to 233 m MD. Drilling parameters : Flow 3500 lpm / SPP 100 bar / 40 RPM / WOB 1-2 MT / Torque 2-3 kNm. Secured string on Centralizer deck. Performe drill d gMWD survey - out of specification. MWD survey inclination 0,26 deg.","drilling -- | ok | Drilled 26"" hole from 231 m to 233 m MD. Drilling parameters : Flow 3500 lpm / SPP 100 bar / 40 RPM / WOB 1-2 MT / Torque 2-3 kNm. Secured string on Centralizer deck. Performe drill d gMWD survey - out of specification. MWD survey inclination 0,26 deg."
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,tfidf,5,0.059133,0.059133,0.247941,0.0,2906,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_12.pdf,15_9_F_10,15_9_F_10,2009-04-12,01:45,03:45,228.0,drilling --,,ok,"Drilled 26"" hole from 217 m to 228 m MD. Drilling parameters : Flow 3500 lpm / SPP 48-95 bar / 40 RPM / WOB < 1 MT / Torque 2-3 kNm. Observed erratic string and torque peaks of drill 6-7 kNm at 227 m MD. Secured string on Centralizer deck. Performed gmWD survey - out of specification. MWD survey inclination 0,21 deg.","drilling -- | ok | Drilled 26"" hole from 217 m to 228 m MD. Drilling parameters : Flow 3500 lpm / SPP 48-95 bar / 40 RPM / WOB < 1 MT / Torque 2-3 kNm. Observed erratic string and torque peaks of drill 6-7 kNm at 227 m MD. Secured string on Centralizer deck. Performed gmWD survey - out of specification. MWD survey inclination 0,21 deg."
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,sbert,1,0.354991,0.131449,0.354991,0.0,2850,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_08.pdf,15_9_F_10,15_9_F_10,2009-04-08,00:00,05:00,207.0,drilling,drill,ok,"Drilled 36"" hole from 165 m to 207 m (17 1/2"" bit depth). 90-100 RPM, 5 ton WOB, 4000-4450 lpm, 3,7 kNm, ROP 5-20 m/hr. Pumped HIVIS pills as per progra m. Took survey at 170 m: Inclination 0,27 deg. Took survey at 180 m: Inclination 0,17 deg. Took survey at 190 m: Inclination 0,21 deg. Took survey at 206 m: Inclination 0,15 deg.","drilling | drill | ok | Drilled 36"" hole from 165 m to 207 m (17 1/2"" bit depth). 90-100 RPM, 5 ton WOB, 4000-4450 lpm, 3,7 kNm, ROP 5-20 m/hr. Pumped HIVIS pills as per progra m. Took survey at 170 m: Inclination 0,27 deg. Took survey at 180 m: Inclination 0,17 deg. Took survey at 190 m: Inclination 0,21 deg. Took survey at 206 m: Inclination 0,15 deg."
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,sbert,2,0.335057,0.0,0.335057,0.0,2882,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_10.pdf,15_9_F_10,15_9_F_10,2009-04-10,13:45,14:45,202.0,drilling,casing,ok,"Performed elevation check releative to F-15 using ROV and digiquartz, 18 mm deviation - ok. Recorded x/y inclinometer readings 0,0/0,2.","drilling | casing | ok | Performed elevation check releative to F-15 using ROV and digiquartz, 18 mm deviation - ok. Recorded x/y inclinometer readings 0,0/0,2."
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,sbert,3,0.312759,0.0,0.312759,0.0,3657,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_06_03.pdf,15_9_F_10,15_9_F_10,2009-06-03,04:15,05:15,5300.0,formation,,ok,"Downlinked Stethoscope. Positioned string with bit at 5287 m MD / probe depth 5253 m MD. P/u weight 197 MT. Obtained pressure sample of 89,51 bar at 5253 m MD. High p/u weight whe evaluatio n comming free with string (~230 MT), came down with string, started rotation and came free, no pack off tendency. n -- log","formation | ok | Downlinked Stethoscope. Positioned string with bit at 5287 m MD / probe depth 5253 m MD. P/u weight 197 MT. Obtained pressure sample of 89,51 bar at 5253 m MD. High p/u weight whe evaluatio n comming free with string (~230 MT), came down with string, started rotation and came free, no pack off tendency. n -- log"
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,sbert,4,0.310221,0.0,0.310221,0.0,3159,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_29.pdf,15_9_F_10,15_9_F_10,2009-04-29,18:30,19:30,2360.0,drilling,circulating condit,ok,Pulled from 2360m to 2346m. No pumping no rotation. Pulled 2m lowered 1m in steps. Took weight at 2350m. ioning,drilling | circulating condit | ok | Pulled from 2360m to 2346m. No pumping no rotation. Pulled 2m lowered 1m in steps. Took weight at 2350m. ioning
1,15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,strict_same_well,sbert,5,0.305204,0.0,0.305204,0.0,3653,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_06_03.pdf,15_9_F_10,15_9_F_10,2009-06-03,00:00,01:00,5255.0,formation,,ok,"Stopped rotation. Circulated at 2500 lpm. Took p/u weight 196 MT. Performed two sticky tests : 3 min - 198 MT p/u and 8 min 205 MT p/u weight. Downlinked Stethoscope. Positioned string evaluatio with bit at 5249 m MD / probe depth 5215 m MD. Obtained pressure sample of 87,17 bar at 5215 m MD. n -- log","formation | ok | Stopped rotation. Circulated at 2500 lpm. Took p/u weight 196 MT. Performed two sticky tests : 3 min - 198 MT p/u and 8 min 205 MT p/u weight. Downlinked Stethoscope. Positioned string evaluatio with bit at 5249 m MD / probe depth 5215 m MD. Obtained pressure sample of 87,17 bar at 5215 m MD. n -- log"
