op_id,pdf_path,well_family,report_date,main_activity,sub_activity,state,primary_label,all_labels,remark_preview
1,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,drilling,trip,ok,TRIP_IN,TRIP_IN,MU BAKER WINDOWMASTER WHIPSTOCK + MILLING ASSEMBLY & ASSOCIATED BHA. CONTINUE TIH WITH DP.
2,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,drilling,trip,ok,TRIP_IN,TRIP_IN,"CONTINUED TIH WITH WINDOWMASTER WHIPSTOCK & MILLING ASSEMBLY. TAGGED 9 5/8"" BRIDGE-PLUG AT 2211 M DPM."
3,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,drilling,drill,ok,DRILL,DRILL,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.
4,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,drilling,drill,ok,CASING,CASING,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2202 M MD - BOTTOM OF WINDOW = 2207 M MD. PUMPED 5 M3 HI-VIS PILL WHILE MILLING AT 2205 M."
5,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,drilling,drill,ok,DRILL,DRILL,DRILLED/MILLED NEW FORMATION FROM 2207 - 2213 M. PUMPED 5 M3 HI-VIS PILL WHILE DRILLING AT 2208 M.
6,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,drilling,drill,ok,DRILL,DRILL,"REAMED WINDOW. AFTER APPROXIMATELY 20 TIMES, STILL UNABLE TO GO DOWN THROUGH WINDOW WITHOUT ROTATING - BASED ON USING MAXIMUM OF 12 M T WEIGHT. REAMED 5 ADDITIONAL TIMES - NOW ABLE TO SLACK-OFF & PICK"
7,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,drilling,circulat,ok,CIRCULATE,CIRCULATE,PUMPED 10 M3 HI-VIS PILL & CIRCULATED HOLE CLEAN AT 2000 LPM. ing conditioning
8,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,drilling,cir,ok,CIRCULATE,CIRCULATE,COMPLETED CIRCULATING HOLE CLEAN. FLUSHED CHOKE & KILL LINES. culating con ditioning
9,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,drilling,trip,ok,TRIP_OUT,TRIP_OUT|DRILL|FLOW_CHECK,"FLOW CHECKED, PUMPED SLUG & POOH TO PU DRILLING BHA."
10,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,interruption,,fail,REPAIR,REPAIR,BURST HYDRAULIC HOSE ON UPPER RACKING ARM - REPAIRED SAME. -- maintain
11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,drilling,trip,ok,TRIP_OUT,TRIP_OUT,CONTINUED TO POOH WITH MILLING ASSEMBLY.
12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,drilling,trip,ok,OTHER,OTHER,COMPLETED LD MILLING ASSEMBLY.
13,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,drilling,trip,ok,DRILL,DRILL,MU DRILLING BHA; MOTOR TESTED OK.
14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,drilling,trip,ok,TRIP_IN,TRIP_IN,TIH WITH BHA TO 800 M.
15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,interruption,,fail,BOP_OPERATION,BOP_OPERATION,ATTEMPTED TO PERFORM WEEKLY BOP FUNCTION TEST USING YELLOW POD. NO FUNCTION OF EITHER ANNULAR POSSIBLE. -- maintain
16,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,drilling,trip,ok,TRIP_IN,TRIP_IN,CONTINUED TO TIH TO 2193 M WHILE PULLING YELLOW POD.
