from_activity,to_activity,count
OTHER,OTHER,644
DRILL,DRILL,419
BOP_OPERATION,BOP_OPERATION,330
OTHER,TRIP_IN,273
TRIP_IN,OTHER,269
OTHER,TRIP_OUT,251
TRIP_IN,TRIP_IN,223
TRIP_OUT,OTHER,213
CASING,CASING,186
TRIP_OUT,TRIP_OUT,182
OTHER,DRILL,176
DRILL,CIRCULATE,148
DRILL,OTHER,148
EQUIPMENT_FAILURE,OTHER,143
OTHER,EQUIPMENT_FAILURE,141
EQUIPMENT_FAILURE,EQUIPMENT_FAILURE,135
FISHING,FISHING,121
BOP_OPERATION,OTHER,114
OTHER,BOP_OPERATION,113
TRIP_IN,DRILL,109
CEMENT,CEMENT,107
CIRCULATE,TRIP_OUT,105
TRIP_IN,EQUIPMENT_FAILURE,104
TOOLBOX_TALK,OTHER,102
CIRCULATE,DRILL,96
CIRCULATE,CIRCULATE,96
MAKE_UP,TRIP_IN,95
CIRCULATE,OTHER,91
TRIP_OUT,EQUIPMENT_FAILURE,88
OTHER,TOOLBOX_TALK,87
EQUIPMENT_FAILURE,TRIP_IN,81
OTHER,CIRCULATE,79
DRILL,EQUIPMENT_FAILURE,79
BOP_OPERATION,EQUIPMENT_FAILURE,76
TRIP_OUT,TRIP_IN,75
DRILL,TRIP_IN,74
TRIP_IN,TRIP_OUT,73
CEMENT,OTHER,70
MAKE_UP,OTHER,69
OTHER,MAKE_UP,64
OTHER,CEMENT,64
EQUIPMENT_FAILURE,TRIP_OUT,61
OTHER,CASING,59
CASING,OTHER,58
CASING,TRIP_IN,55
TRIP_IN,CIRCULATE,53
EQUIPMENT_FAILURE,DRILL,52
CASING,EQUIPMENT_FAILURE,51
TRIP_IN,CASING,51
TRIP_IN,BOP_OPERATION,49
EQUIPMENT_FAILURE,BOP_OPERATION,48
TRIP_OUT,CASING,47
TRIP_IN,MAKE_UP,47
DRILL,TRIP_OUT,44
EQUIPMENT_FAILURE,CASING,43
TRIP_OUT,LAY_DOWN,42
TRIP_OUT,CIRCULATE,40
FLOW_CHECK,TRIP_OUT,40
CASING,CIRCULATE,39
CIRCULATE,CEMENT,39
BOP_OPERATION,DRILL,38
TRIP_OUT,DRILL,37
BOP_OPERATION,TRIP_OUT,36
CIRCULATE,FLOW_CHECK,36
OTHER,LAY_DOWN,35
TRIP_OUT,BOP_OPERATION,34
EQUIPMENT_FAILURE,CEMENT,34
OTHER,REPAIR,33
DRILL,BOP_OPERATION,33
CEMENT,EQUIPMENT_FAILURE,33
BOP_OPERATION,TRIP_IN,32
CEMENT,TRIP_OUT,32
EQUIPMENT_FAILURE,CIRCULATE,32
TRIP_OUT,FLOW_CHECK,32
TOOLBOX_TALK,EQUIPMENT_FAILURE,32
TRIP_IN,CEMENT,31
FLOW_CHECK,OTHER,31
DRILL,CASING,30
CIRCULATE,EQUIPMENT_FAILURE,30
CEMENT,CIRCULATE,30
EQUIPMENT_FAILURE,MAKE_UP,30
MAKE_UP,MAKE_UP,30
TOOLBOX_TALK,MAKE_UP,30
TRIP_OUT,CEMENT,29
REPAIR,TRIP_IN,28
MAKE_UP,EQUIPMENT_FAILURE,28
REPAIR,OTHER,27
CEMENT,TRIP_IN,26
CASING,TRIP_OUT,26
CIRCULATE,TRIP_IN,25
CEMENT,DRILL,25
LAY_DOWN,OTHER,25
TRIP_OUT,TOOLBOX_TALK,25
TOOLBOX_TALK,TRIP_IN,24
BOP_OPERATION,TOOLBOX_TALK,24
DRILL,SURVEY,23
EQUIPMENT_FAILURE,TOOLBOX_TALK,23
CASING,DRILL,22
TRIP_IN,TOOLBOX_TALK,22
TRIP_OUT,MAKE_UP,22
TRIP_OUT,REPAIR,21
OTHER,FISHING,21
OTHER,WELL_CONTROL,20
SURVEY,DRILL,20
FISHING,OTHER,20
DRILL,TOOLBOX_TALK,19
CEMENT,BOP_OPERATION,19
REPAIR,TRIP_OUT,18
TRIP_OUT,RIG_UP,18
CIRCULATE,CASING,18
RIG_UP,OTHER,18
OTHER,RIG_UP,18
TRIP_IN,REPAIR,18
FISHING,EQUIPMENT_FAILURE,18
BOP_OPERATION,MAKE_UP,18
BOP_OPERATION,CEMENT,18
MAKE_UP,TOOLBOX_TALK,18
TOOLBOX_TALK,BOP_OPERATION,18
MAKE_UP,DRILL,17
STUCK_PIPE,CIRCULATE,17
CASING,TOOLBOX_TALK,17
WELL_CONTROL,OTHER,16
WAIT,OTHER,16
RIG_UP,TRIP_IN,16
RIG_UP,RIG_UP,16
DRILL,CEMENT,16
TOOLBOX_TALK,TRIP_OUT,16
CIRCULATE,TIGHT_HOLE,15
LAY_DOWN,TRIP_OUT,15
CEMENT,CASING,15
MAKE_UP,BOP_OPERATION,15
DRILL,MAKE_UP,15
TOOLBOX_TALK,DRILL,15
LAY_DOWN,EQUIPMENT_FAILURE,15
LAY_DOWN,DRILL,14
