op_id,pdf_path,well_family,report_date,entity_text,entity_label,entity_value,entity_unit,char_start,char_end
1,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,BHA,EQUIPMENT,BHA,,64,67
1,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,DP,EQUIPMENT,DP,,87,89
2,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,"9 5/8""",BIT_SIZE,9.625,"""",69,75
2,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,2211 M,DEPTH,2211,m,91,97
3,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,MWD,EQUIPMENT,MWD,,25,28
4,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,"9 5/8""",BIT_SIZE,9.625,"""",14,20
4,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,CASING,EQUIPMENT,CASING,,21,27
4,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,2202 M MD,DEPTH,2202,mMD,61,70
4,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,2207 M MD,DEPTH,2207,mMD,92,101
4,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,2205 M,DEPTH,2205,m,144,150
5,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,2213 M,DEPTH,2213,m,41,47
5,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,2208 M,DEPTH,2208,m,91,97
6,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,12 M,DEPTH,12,m,129,133
7,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19,1997-07-26,2000 LPM,MEASUREMENT,2000,LPM,52,60
8,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,CHOKE,EQUIPMENT,CHOKE,,42,47
9,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,DRILLING BHA,EQUIPMENT,DRILLING BHA,,39,51
13,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,DRILLING BHA,EQUIPMENT,DRILLING BHA,,3,15
14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,BHA,EQUIPMENT,BHA,,9,12
14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,800 M,DEPTH,800,m,16,21
15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,BOP,EQUIPMENT,BOP,,28,31
15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19,1997-07-27,ANNULAR,EQUIPMENT,ANNULAR,,86,93
