pdf_path,pdf_filename,well_family,rank,keyword,tfidf_score
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,1,whipstock,0.448753
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,2,baker,0.347126
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,3,tih,0.336725
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,4,tih tih,0.289923
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,5,windowmaster whipstock,0.280001
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,6,windowmaster,0.280001
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,7,baker windowmaster,0.280001
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,8,whipstock window,0.271895
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,9,associated,0.259103
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_25.pdf,15_9_19_A_1997_07_25.pdf,15_9_19,10,window casing,0.249181
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,1,whipstock,0.341933
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,2,windowmaster,0.271545
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,3,windowmaster whipstock,0.271545
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,4,window,0.24685
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,5,milling,0.221389
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,6,baker windowmaster,0.219081
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,7,hi-vis pill,0.174016
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,8,baker,0.160412
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,9,tih,0.155606
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_26.pdf,15_9_19_A_1997_07_26.pdf,15_9_19,10,hi-vis,0.153081
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,1,yellow pod,0.199047
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,2,yellow,0.19707
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,3,freed,0.189949
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,4,pod,0.188688
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,5,window,0.176837
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,6,milling,0.167355
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,7,pass window,0.16561
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,8,pod function,0.16561
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,9,pooh milling,0.160815
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,15_9_19_A_1997_07_27.pdf,15_9_19,10,tih,0.145796
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,1,whipstock,0.2893
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,2,milling,0.283337
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,3,windowmaster whipstock,0.246581
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,4,windowmaster,0.246581
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_28.pdf,15_9_19_A_1997_07_28.pdf,15_9_19,5,pooh milling,0.239442
