op_id,well_family,pdf_path,report_date,start_time,end_depth_md,main_activity,sub_activity,state,severity_score,severity_contributors,remark
1373,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_BT2_1998_01_29.pdf,1998-01-29,11:00,108.0,plug abando,,fail,22,STUCK_PIPE(+8)|FISHING(+6)|text:overpull(+3)|state:fail(+5),"MU 13 3/8"" SPEAR/PACK-OFF ASSEMBLY. ENGAGED 13 3/8"" CASING BELOW WELL- HEAD. UNABLE TO PULL 13 3/8"" CASING FREE WITH 154 MT OVERPULL. ESTABLISHED n -- cut INJECTION - 680 LPM AT 16 BAR. RELEASED SPEAR AND POOH."
8927,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2008_06_17.pdf,2008-06-17,23:15,2222.0,interruption,other,ok,21,WELL_CONTROL(+10)|EQUIPMENT_FAILURE(+4)|FISHING(+6)|REPAIR(+1),Found error in software. Cycled the Iron roughneck and re-booted the software. Equipment Failure Information Start time Depth mMD Depth mTVD Sub Equip -- Syst Class Operation Downtime ((min)) Equipment Repaired Remark 00:00 600 well control equ syst -- other 0 00:00 Found Overshot Packer leaking fluid and Koomy unit level dropped a little.
6944,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_09_11.pdf,2007-09-11,14:30,0.0,interruption,waiting,ok,21,WELL_CONTROL(+10)|EQUIPMENT_FAILURE(+4)|FISHING(+6)|REPAIR(+1),Watied on weather. Meanwhile worked on PRS. on weather Equipment Failure Information Start time Depth mMD Depth mTVD Sub Equip -- Syst Class Operation Downtime ((min)) Equipment Repaired Remark 00:00 0 well control equ syst -- other 0 00:00 Not able to release overshot joint from BOP body 00:00 0 well control equ syst -- other 0 00:00 Problems with hydraulic pressure on BOP trolley
6345,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_07_20.pdf,2007-07-20,23:30,70.0,drilling,trip,ok,20,WELL_CONTROL(+10)|EQUIPMENT_FAILURE(+4)|FISHING(+6),"Continued to make up 17 1/2"" drilling BHA. Made up NM drillcollar. Equipment Failure Information Start time Depth mMD Depth mTVD Sub Equip -- Syst Class Operation Downtime ((min)) Equipment Repaired Remark 00:00 1262 pipe handling equ syst -- other 0 00:00 - 00:00 0 well control equ syst -- other 0 00:00 Had to tighten slickjoint/overshot connection on BOP 00:00 30 pipe handling equ syst -- vertical pipe handling equ syst 0 00:00 Burst hose on AFT PRS."
830,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_B_1997_12_01.pdf,1997-12-01,20:00,2967.0,interrupti,,fail,18,TIGHT_HOLE(+3)|EQUIPMENT_FAILURE(+4)|FISHING(+6)|state:fail(+5),"FLOWCHECKED - SLIGHT GAIN, RATE OF GAIN FALLING. BEGAN POOH. NORMAL DRAG TO 3087M. TIGHT HOLE 3087M TO 3025M REQUIRED AS MUCH AS 50 TONS OVERPU on -- fish LL. TIGHT AT 3006M AND 2996M TO 2986M WHERE DRAG RETURNED TO NORMAL. HOLE DID NOT TAKE CORRECT FILL. CONT. POOH TO 2967M. BROKE CIRCULATION WITH 900 LPM, FULL RETURNS. PUMPED SLUG."
11026,15_9_F_15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_15_2008_12_09.pdf,2008-12-09,07:15,0.0,drilling,casing,ok,18,STUCK_PIPE(+8)|EQUIPMENT_FAILURE(+4)|FISHING(+6),"Broke and laid out 5 1/2"" HWDP and 8 1/4"" DC. Broke and laid down 10 3/4"" Bowen spear and pack off assy. Changed dies in PRS."
10419,15_9_F_15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_15_2008_09_21.pdf,2008-09-21,05:15,1381.0,interruptio,,ok,17,STUCK_PIPE(+8)|FISHING(+6)|text:overpull(+3),"Attempted to work string free. Not able to come down - string at TD. Attempted to come up - functioned jar twice. Attempted to work string free by applying torque up to 40 kNm and overpull n -- fish of 40 MT. Made way from 1381 m to 1376 m MD. Attempted to pump - hole still packed off. Bled off 27 bar pressure trapped on standpipe and heard loud roarring sound. Lost string weight - went to just above block weight. POOH with 5 1/2"" DP and found string screwed out underneath 6 m drilling pup joint. Laid out pup joint - found no damage on threads."
4869,15_9_F_11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_11_B_2015_10_27.pdf,2015-10-27,22:15,0.0,workover,wire line,ok,17,WELL_CONTROL(+10)|EQUIPMENT_FAILURE(+4)|REPAIR(+1)|text:swabbing(+2),"Inflow tested / leak tested swab to 20/345 bar for 5/10 min according to program. Leak tested kill wing manifold and hoses to 20/345 bar for 5/10 min. Equipment Failure Information Start Depth Sub Equip -- Syst Operation Equipment Remark time mMD mTVD Class Downtime ((min)) Repaired 00:00 0 well control equ syst - 0 00:00 xx - riser syst 00:00 3919 service equ -- other 0 00:00 Short circuit, loss of communication 00:00 3900 service equ -- other 0 00:00 Crossed wire on drum 00:00 0 service equ -- other 0 00:00 When pulling out of hole with wire line perforating assembly the wire line cable pulled out of the cablehead as the tool string was pulled into the toolcatcher. - No injuries or damage to equipment. When pulling out of hole the limit switch on the wirelin 00:00 4450 service equ -- other 0 00:00 Prelimenary: RIH to 4470 m and initiated CCL logging run. Pulled back to 4450 m, recorded 7000lbs surface tension. Lost communication. Attempted to switch to tractor and recorded high amps. Payed out wire ¿ NO Response. Wireline reel estimated to be fro"
2985,15_9_F_10,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_04_18.pdf,2009-04-18,07:30,1238.0,interruptio,,ok,17,STUCK_PIPE(+8)|FISHING(+6)|text:overpull(+3),"Attempted to RIH with 20"" casing / 18 3/4"" WH - negative. Worked to free pipe with alternating up/down weights, 50 MT set down / 60 MT overpull - negative - 20"" casing differential stuck. n -- fish String movement < 50 cm. Set down 50 MT weight. Installed split bowl and set casing in slips. Discussed situation, decided to attempt making up TDS and displace well from 1,40 sg KCl mud to seawater."
810,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_B_1997_11_29.pdf,1997-11-29,06:00,3241.0,interruption --,,fail,16,FISHING(+6)|text:back-off(+5)|state:fail(+5),FINISHED RIGGING UP ATLAS WIRELINE TO RUN BACKOFF TOOL STRING THROUGH TOP DRIVE. HAD TO RE-RIG SHEAVES BECAUSE OF HIGH DRAG ON THE LO fish GGING CABLE. ATLAS RIH CHECKING UP WEIGHTS EVERY 500M.
